"","x"
"466","Buthraupis aureodorsalis"
"467","Buthraupis eximia"
"468","Buthraupis montana"
"469","Buthraupis wetmorei"
"470","Cacatua alba"
"471","Cacatua ducorpsii"
"472","Cacatua galerita"
"473","Cacatua goffiniana"
"474","Cacatua haematuropygia"
"475","Cacatua moluccensis"
"476","Cacatua ophthalmica"
"477","Cacatua sanguinea"
"478","Cacatua sulphurea"
"479","Cacicus cela"
"480","Cacicus chrysopterus"
"481","Cacicus haemorrhous"
"482","Cacicus sclateri"
"483","Cacicus uropygialis"
"484","Calamanthus campestris"
"485","Calamanthus cautus"
"486","Calamanthus fuliginosus"
"487","Calamanthus pyrrhopygius"
"488","Calamospiza melanocorys"
"489","Calcarius lapponicus"
"490","Calcarius mccownii"
"491","Calcarius ornatus"
"492","Calcarius pictus"
"493","Calendulauda albescens"
"494","Calendulauda barlowi"
"495","Calendulauda burra"
"496","Calidris alba"
"497","Calidris bairdii"
"498","Calidris canutus"
"499","Calidris ferruginea"
"500","Calidris fuscicollis"
"501","Calidris himantopus"
"502","Calidris maritima"
"503","Calidris mauri"
"504","Calidris melanotos"
"505","Calidris minuta"
"506","Calidris minutilla"
"507","Calidris ptilocnemis"
"508","Calidris pusilla"
"509","Calidris ruficollis"
"510","Calidris subminuta"
"511","Calidris temminckii"
"512","Calidris tenuirostris"
"513","Callaeas cinereus"
"514","Callipepla californica"
"515","Callipepla douglasii"
"516","Callipepla gambelii"
"517","Callipepla squamata"
"518","Calliphlox bryantae"
"519","Calliphlox mitchellii"
"520","Callonetta leucophrys"
"521","Calochaetes coccineus"
"522","Calocitta colliei"
"523","Calocitta formosa"
"524","Caloenas nicobarica"
"525","Caloperdix oculeus"
"526","Calypte anna"
"527","Calypte costae"
"528","Calyptocichla serina"
"529","Camarhynchus heliobates"
"530","Camarhynchus pallidus"
"531","Camarhynchus parvulus"
"532","Camarhynchus pauper"
"533","Camarhynchus psittacula"
"534","Campephilus gayaquilensis"
"535","Campephilus guatemalensis"
"536","Campephilus imperialis"
"537","Campephilus leucopogon"
"538","Campephilus magellanicus"
"539","Campephilus melanoleucos"
"540","Campephilus pollens"
"541","Campephilus principalis"
"542","Campephilus rubricollis"
"543","Camptostoma imberbe"
"544","Camptostoma obsoletum"
"545","Campylorhamphus procurvoides"
"546","Campylorhamphus pucherani"
"547","Campylorhamphus trochilirostris"
"548","Campylorhynchus albobrunneus"
"549","Campylorhynchus chiapensis"
"550","Campylorhynchus fasciatus"
"551","Campylorhynchus griseus"
"552","Campylorhynchus gularis"
"553","Campylorhynchus jocosus"
"554","Campylorhynchus megalopterus"
"555","Campylorhynchus nuchalis"
"556","Campylorhynchus rufinucha"
"557","Campylorhynchus turdinus"
"558","Campylorhynchus zonatus"
"559","Capito auratus"
"560","Capito aurovirens"
"561","Capito dayi"
"562","Capito maculicoronatus"
"563","Capito niger"
"564","Capito squamatus"
"565","Caprimulgus candicans"
"566","Cardinalis cardinalis"
"567","Cardinalis phoeniceus"
"568","Carduelis ambigua"
"569","Carduelis atrata"
"570","Carduelis barbata"
"571","Carduelis cannabina"
"572","Carduelis carduelis"
"573","Carduelis chloris"
"574","Carduelis citrinella"
"575","Carduelis crassirostris"
"576","Carduelis cucullata"
